Data set,Ligand InChI Key,PubChem SID,LogBIO,BS+AICc,BS+r2a,FS+AIC,FS+BIC,FS+r2a,FS+RIC1,FS+RIC2,FS+RIC3,FS+RIC4
Training set,HLRBSTGXOFUEHW-OAHLLOKOSA-N,252633121,10.154902,8.824,8.845,8.577,8.187,8.669,8.598,8.592,8.577,8.598
Training set,TVIUJNLDORXPPC-OAHLLOKOSA-N,103925284,10.148742,8.501,8.875,8.323,7.97,8.705,8.232,8.337,8.323,8.232
Training set,TVIUJNLDORXPPC-OAHLLOKOSA-N,103925284,10.148742,8.529,8.817,8.353,7.992,8.632,8.234,8.368,8.353,8.234
Training set,LNEPOXFFQSENCJ-UHFFFAOYSA-N,49689470,10.124939,7.787,7.907,7.711,7.748,7.815,7.729,7.699,7.711,7.729
Training set,HUAOWHVSGILVDD-UHFFFAOYSA-N,103920802,9.443697,7.74,7.704,7.914,7.689,7.918,7.856,7.899,7.914,7.856
Training set,KRVOJOCLBAAKSJ-UHFFFAOYSA-N,225146185,9.318759,7.357,7.265,7.004,7.191,7.089,7.005,6.942,7.004,7.005
Training set,KRVOJOCLBAAKSJ-KSSFIOAISA-N,103918666,9.309804,6.664,6.597,6.435,6.819,6.567,6.47,6.367,6.435,6.47
Training set,ZZJYIKPMDIWRSN-HWBMXIPRSA-N,103921865,9.30103,6.568,6.452,6.426,6.057,6.526,6.251,6.418,6.426,6.251
Training set,RHRKSVACMIQFDY-UHFFFAOYSA-N,103923395,9.207608,7.095,7.201,6.923,6.866,6.951,6.824,6.963,6.923,6.824
Training set,INSDLPNRRROKEU-UHFFFAOYSA-N,103948278,9.207608,8.564,8.731,8.796,8.94,8.547,9.011,8.789,8.796,9.011
Training set,OHMIBGFTDCPQGJ-QGZVFWFLSA-N,103920804,9.187087,7.373,7.726,7.642,7.927,7.733,8.037,7.627,7.642,8.037
Training set,CIPDKOWUWNPALY-UHFFFAOYSA-N,104040158,9.154902,7.613,7.771,7.887,7.275,7.958,7.45,7.921,7.887,7.45
Training set,XMEYKENMGPBBQT-UHFFFAOYSA-N,103916364,9.119186,7.692,8.221,7.721,7.334,8.285,7.387,7.725,7.721,7.387
Training set,NHGHSSSIIOPHJZ-ZDUSSCGKSA-N,160847169,9.113509,7.451,7.726,7.462,7.258,7.651,7.299,7.469,7.462,7.299
Training set,NZSGOEUDQMTJJY-OAHLLOKOSA-N,103925282,9.05061,7.693,7.748,7.569,7.123,7.782,7.613,7.567,7.569,7.613
Training set,NZSGOEUDQMTJJY-OAHLLOKOSA-N,103925282,9.05061,7.693,7.748,7.569,7.123,7.782,7.613,7.567,7.569,7.613
Training set,AADCDMQTJNYOSS-LBPRGKRZSA-N,103920793,9.036212,8.012,8.174,7.935,8.314,8.029,7.932,7.94,7.935,7.932
Training set,AADCDMQTJNYOSS-LBPRGKRZSA-N,103920793,9.036212,7.869,7.966,7.669,7.956,7.696,7.71,7.679,7.669,7.71
Training set,LSIVEFHSNHEZSG-UHFFFAOYSA-N,103916343,9,7.717,7.816,7.663,7.033,7.705,7.607,7.664,7.663,7.607
Training set,RZRNRIGVNCQGNB-UHFFFAOYSA-N,225145666,9,5.743,5.789,5.719,5.874,5.816,5.701,5.731,5.719,5.701
Training set,YQHSWEOSWHNZLJ-UHFFFAOYSA-N,103948284,9,8.639,8.731,8.786,8.823,8.479,8.801,8.788,8.786,8.801
Training set,WNNMRMNAGNMVEW-MRXNPFEDSA-N,103923438,8.9914,8.433,8.687,8.202,8.003,8.324,8.292,8.217,8.202,8.292
Training set,VMZWFUNEODYUEN-UHFFFAOYSA-N,103916368,8.958607,7.47,7.621,7.27,6.884,7.407,7.153,7.262,7.27,7.153
Training set,VMZWFUNEODYUEN-UHFFFAOYSA-N,103916368,8.958607,7.472,7.643,7.265,6.905,7.407,7.182,7.255,7.265,7.182
Training set,LNEPOXFFQSENCJ-UHFFFAOYSA-N,49689470,8.920819,7.84,7.939,7.762,7.781,7.928,7.789,7.764,7.762,7.789
Training set,QAECXZXKVURFMR-LBPRGKRZSA-N,103920797,8.920819,7.141,7.113,7.258,7.347,7.294,7.312,7.27,7.258,7.312
Training set,QAECXZXKVURFMR-LBPRGKRZSA-N,103920797,8.920819,7.2,7.221,7.304,7.347,7.289,7.357,7.319,7.304,7.357
Training set,DCVFPUZNCLIHIT-UHFFFAOYSA-N,104040071,8.920819,7.48,7.418,7.46,6.866,7.6,7.461,7.446,7.46,7.461
Training set,WAOQONBSWFLFPE-VIFPVBQESA-N,103918664,8.886057,8.008,7.992,8.441,8.091,8.333,8.251,8.442,8.441,8.251
Training set,XRYLGRGAWQSVQW-KRWDZBQOSA-N,103920838,8.886057,7.422,7.761,7.683,7.252,7.744,7.574,7.689,7.683,7.574
Training set,XRYLGRGAWQSVQW-KRWDZBQOSA-N,103920838,8.886057,7.409,7.731,7.658,7.221,7.693,7.555,7.668,7.658,7.555
Training set,JPFKUHKRYXOWGK-OAHLLOKOSA-N,103920785,8.886057,7.726,8.075,7.549,7.605,7.759,7.675,7.542,7.549,7.675
Training set,WGLPSCZHULDZSS-JTQLQIEISA-N,103920792,8.853872,7.798,8.051,7.483,7.189,7.659,7.369,7.486,7.483,7.369
Training set,WGLPSCZHULDZSS-JTQLQIEISA-N,103920792,8.853872,7.778,8.028,7.474,7.186,7.644,7.362,7.476,7.474,7.362
Training set,FMFOZEFYIOCIHK-UHFFFAOYSA-N,103990600,8.853872,6.519,6.953,6.74,6.104,6.939,6.608,6.726,6.74,6.608
Training set,WNFZGOUONAMKNP-UHFFFAOYSA-N,104040123,8.853872,7.524,8.128,7.715,7.521,7.899,7.372,7.764,7.715,7.372
Training set,WGLPSCZHULDZSS-JTQLQIEISA-N,103920792,8.853872,7.715,8.019,7.406,7.16,7.624,7.335,7.409,7.406,7.335
Training set,VQFIJOMUUDIPOY-QGZVFWFLSA-N,103920783,8.853872,7.348,7.426,7.407,7.447,7.33,7.524,7.417,7.407,7.524
Training set,JHMTYLJMPBFCTD-LBPRGKRZSA-N,103925215,8.823909,7.434,7.072,7.08,7.189,7.096,6.991,7.063,7.08,6.991
Training set,QVTIYLFSBMCCJG-UHFFFAOYSA-N,103916342,8.79588,6.646,6.693,6.896,6.466,6.901,6.629,6.888,6.896,6.629
